Blank1,Blank2,Cab Number,Lat,Long,All counties,Fibre Services Live,Fibre Build Commenced,Fibre Services Planned,cab message
,,LCN1_037,53.357203,-6.411966,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_038,53.352337,-6.416105,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_039,53.35206,-6.419561,,1,,,Fibre Broadband Cabinet is planned for this location
,,LCN1_040,53.336941,-6.452167,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_051,53.349478,-6.438429,,3,,,Fibre Broadband Cabinet is Live 
,,LCN1_052,53.350709,-6.428185,,1,,,Fibre Broadband Cabinet is planned for this location
,,LCN1_E01,53.35721,-6.42976,,2,,,Fibre Build commenced - completion work is in progress
,,LED1_001,51.900766,-8.359741,,3,,,Fibre Broadband Cabinet is Live 
,,LED1_002,51.911591,-8.336897,,3,,,Fibre Broadband Cabinet is Live 
,,LED1_003,51.908256,-8.355715,,3,,,Fibre Broadband Cabinet is Live 
,,LED1_004,51.898584,-8.333243,,3,,,Fibre Broadband Cabinet is Live 
,,LED1_005,51.899449,-8.370921,,3,,,Fibre Broadband Cabinet is Live 
,,LED1_006,51.902696,-8.359748,,1,,,Fibre Broadband Cabinet is planned for this location
,,LED1_007,51.904366,-8.347714,,3,,,Fibre Broadband Cabinet is Live 
,,LED1_008,51.902387,-8.343663,,3,,,Fibre Broadband Cabinet is Live 
,,LED1_009,51.894558,-8.365454,,3,,,Fibre Broadband Cabinet is Live 
,,LED1_010,51.90567,-8.360506,,1,,,Fibre Broadband Cabinet is planned for this location
,,LED1_011,51.912406,-8.323974,,3,,,Fibre Broadband Cabinet is Live 
,,LED1_E01,51.90301728,-8.351301983,,1,,,Fibre Broadband Cabinet is planned for this location
,,LEG1_001,52.733782,-6.98162,,3,,,Fibre Broadband Cabinet is Live 
,,LEG1_007,52.736412,-7.021633,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_001,53.369133,-6.506868,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_002,53.369502,-6.486547,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_003,53.372261,-6.478389,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_004,53.371874,-6.488401,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_005,53.373672,-6.496874,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_006,53.369491,-6.486505,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_009,53.366275,-6.5019109,,2,,,Fibre Build commenced - completion work is in progress
,,LEX1_010,53.367263,-6.49403,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_011,53.365092,-6.489257,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_012,53.365038,-6.506472,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_013,53.366305,-6.496063,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_015,53.363532,-6.512908,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_016,53.36568,-6.516446,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_017,53.369665,-6.501361,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_018,53.36535,-6.513307,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_019,53.361301,-6.482374,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_020,53.375676,-6.483204,,3,,,Fibre Broadband Cabinet is Live 
,,LEX1_021,53.365921,-6.519833,,3,,,Fibre Broadband Cabinet is Live 
